Active or Inactive Business,Tax Type,Retail Permit Number,Consolidated Number,Name of Business,Address of the Business,State,County Name,Registration County Number,Business Location County Number,Department City Code,City Location of Business,Business Zip Code,NAICS code,Description of type of NAICS code,Date Permit was Issued,Date Permit was Cancelled
Active,Retail Sales,153002218,,"MONTICELLO GOLF CLUB, MONTICELLO GOLF CLUB INC",PO BOX 173,IA,Jones,53.0,53,2.0,MONTICELLO,52310-0173,713910.0,Golf Courses and Country Clubs,1952-04-17T00:00:00.000,
Inactive,Retail Sales,685507024,,"HARKNESS, DANIEL J; HARKNESS,DANIEL J",4442 FRILEY CHAMBERLAIN,IA,Story,85.0,85,1.0,AMES,50012-1002,,,2002-10-10T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Retail Sales,306105412,306105412,"DOTDASH MEREDITH INC, FKA ABOUT INC",555 W 18TH ST FL 7,NY,,0.0,0,,NEW YORK,10011-2822,,,2022-09-01T00:00:00.000,2024-12-31T00:00:00.000
Active,Retail Sales,300005724,300005724,SAGITTORIUS TREASURES,1251 WALNUT ST # 2,IA,Dubuque,31.0,31,1.0,DUBUQUE,52001-6256,,,2023-07-01T00:00:00.000,
Active,Retail Sales,100016027,,CALOPTIX CORP,23285 EICHLER ST UNIT B BLDG 10,CA,,46.0,0,,HAYWARD,94545-0000,424990.0,Other Miscellaneous Nondurable Goods Merchant Wholesalers,2021-09-01T00:00:00.000,
Active,Retail Sales,308104125,308104125,"BE THE BEST CNA, SILVER DANDELIONS",5537 N AUTUMN DR,MO,,0.0,0,,COLUMBIA,65202-9796,,,2025-10-18T00:00:00.000,
Inactive,Consumer Use,970000952,970000952,SULZCO LLC,1110 MUSSER ST,IA,Muscatine,70.0,70,1.0,MUSCATINE,52761-1643,238910.0,Site Preparation Contractors,2015-06-15T00:00:00.000,2022-06-30T00:00:00.000
Inactive,Retail Sales,123018515,,"HAGG, TERRY D; TATERS REDNECK GARAGE & HOBBI",105 S MAIN,IA,Clinton,23.0,23,7.0,WHEATLAND,52777-0000,8111.0,Automotive Repair and Maintenance,2018-06-01T00:00:00.000,2020-05-06T00:00:00.000
Inactive,Remote Sales,200178190,200178190,M AND A MECHANICAL,228 CHICAGO AVE,IL,,0.0,0,,SAVANNA,61074-1918,238220.0,"Plumbing, Heating, and Air-Conditioning Contractors",2018-01-01T00:00:00.000,2022-03-31T00:00:00.000
Inactive,Retail Sales,133009685,,"LAM, CHRISTINA N; LAM,CHRISTINA N",1 W CHARLES STE 3,IA,Fayette,33.0,33,1.0,OELWEIN,50662-0000,8121.0,Personal Care Services,2018-09-01T00:00:00.000,2021-09-15T00:00:00.000
Active,Retail Sales,308203822,308203822,CZL ENTERPRISE LLC,PO BOX 1022,NY,,0.0,0,,NEW YORK,10002-0912,459120.0,"Hobby, Toy, and Game Retailers",2025-09-12T00:00:00.000,
Inactive,Retail Sales,129015375,,"CRANSTON, JACOB L; CRANSTON,JACOB L",501 S GARFIELD AVE,IA,Des Moines,29.0,29,1.0,BURLINGTON,52601-4108,561730.0,Landscaping Services,2019-09-01T00:00:00.000,2025-04-30T00:00:00.000
Active,Retail Sales,100001472,,FIRST COAST INDUSTRIAL LLC,9951 ATLANTIC BLVD STE 173,FL,,94.0,0,,JACKSONVILLE,32225-6592,423840.0,Industrial Supplies Merchant Wholesalers,2019-01-10T00:00:00.000,
Active,Retail Sales,165005252,,DEER CREEK REPAIR LLC,64922 390TH ST,IA,Mills,65.0,65,6.0,HASTINGS,51540-4052,8111.0,Automotive Repair and Maintenance,2018-03-01T00:00:00.000,
Active,Retail Sales,305903522,305903422,"DEER PONDS; RBO OUTDOORS, LLC; HEADQUARTERS",W1235 COUNTY ROAD T,WI,,0.0,0,,ALMA,54610-8342,459110.0,Sporting Goods Retailers,2025-03-07T00:00:00.000,
Active,Retail Sales,308704419,308704319,"PATTEN RENTAL, LLC; PATTEN FAMILY ENTERPRISES, LLC.; PATTEN RENTAL",3230 AMES AVE,IA,,41.0,41,,TITONKA,50480-7502,238160.0,Roofing Contractors,2023-03-01T00:00:00.000,
Active,Retail Sales,306009416,306008416,"WHRGOPS NW-IA-WIA LLC, WHRG 3290",3624 W LOCUST ST,IA,Scott,0.0,82,1.0,DAVENPORT,52804-3020,,,2022-10-31T00:00:00.000,
Active,Retail Sales,100007267,,"AKABIS, LLC",395 EAST DR,FL,,0.0,0,,MELBOURNE,32904-1030,5151.0,Radio and Television Broadcasting,2019-12-01T00:00:00.000,
Active,Retail Sales,304100622,304100622,"HEINTZ, TYLER",202 RIDGEWOOD DR,IA,Story,85.0,85,12.0,HUXLEY,50124-4700,,,2024-01-01T00:00:00.000,
Active,Retail Sales,306301021,306301021,"ZEROKEY LLC; HANNUM, JOSHUWA",1410 N SADDLE CREEK RD,NE,,0.0,0,,OMAHA,68132-1655,,,2025-03-01T00:00:00.000,
Active,Retail Sales,307509026,307509026,"GENERAL CAB USA LLC, GC COOLING",1434 E FLEMING AVE,IA,Polk,77.0,77,1.0,DES MOINES,50313-3927,423120.0,Motor Vehicle Supplies and New Parts Merchant Wholesalers,2025-07-21T00:00:00.000,
Active,Retail Sales,9123,9123,BOEKE FUNERAL HOMES INC,504 E MAPLE ST,IA,Hardin,42.0,42,5.0,HUBBARD,50122-7731,812210.0,Funeral Homes and Funeral Services,2001-10-01T00:00:00.000,
Inactive,Retail Sales,157058664,,"TAYLOR, PETER M; SUNSET CONSTRUCTION",1407 WILDWOOD DR NE,IA,Linn,57.0,57,1.0,CEDAR RAPIDS,52402-4721,2362.0,Nonresidential Building Construction,2017-10-01T00:00:00.000,2023-11-03T00:00:00.000
Active,Retail Sales,157037644,,"LIQUID ASSETS INC, VINERIA WINE SHOP",264 BLAIRS FERRY RD NE,IA,Linn,57.0,57,1.0,CEDAR RAPIDS,52402-1602,445320.0,"Beer, Wine, and Liquor Retailers",1992-02-03T00:00:00.000,
Active,Retail Sales,306605312,306605212,"GUTHRIE COUNTY QUALITY MEATS LLC, GUTHRIE COUNTY QUALITY MEATS",1507 STATE ST,IA,Guthrie,39.0,39,1.0,GUTHRIE CENTER,50115-8805,112111.0,Beef Cattle Ranching and Farming,2022-11-07T00:00:00.000,
Inactive,Retail Sales,100011549,,REVAK KEENE TURBOMACHINERY LLP,12204 W FAIRMONT PKWY,TX,,91.0,0,,LA PORTE,77571-6004,3332.0,Industrial Machinery Manufacturing,2020-08-26T00:00:00.000,2021-12-06T00:00:00.000
Inactive,Retail Sales,306107119,306107119,"HIGHER-SELF HOLISTICS; MEYER, STACY M",3049 LEMON ST,IA,Dubuque,31.0,31,1.0,DUBUQUE,52001-1919,,,2022-08-07T00:00:00.000,2024-11-30T00:00:00.000
Active,Consumer Use,964000741,964000741,"CARE INITIATIVES, STATE CENTER NURSING & REHAB CTR",702 3RD ST NW,IA,Marshall,64.0,64,2.0,STATE CENTER,50247-1012,6214.0,Outpatient Care Centers,2000-07-01T00:00:00.000,
Active,Retail Sales,177076880,,"ANGLO INTERNATIONAL INC, ANGL",12851 UNIVERSITY AVE STE 100,IA,Polk,77.0,77,7.0,CLIVE,50325-8254,458310.0,Jewelry Retailers,1989-06-01T00:00:00.000,
Inactive,Retail Sales,178025904,,"SCHWARTZ, SANDRA L; SCHWARTZ,SANDRA L",2449 AVENUE I,IA,Pottawattamie,78.0,78,1.0,COUNCIL BLUFFS,51501-0817,459120.0,"Hobby, Toy, and Game Retailers",2015-09-06T00:00:00.000,2015-11-14T00:00:00.000
Active,Remote Sales,200155719,200155719,INFILTRATOR WATER TECHNOLOGIES,PO BOX 768,CT,,0.0,0,,OLD SAYBROOK,06475-0768,3261.0,Plastics Product Manufacturing,2007-07-01T00:00:00.000,
Active,Retail Sales,301306121,301306021,"OAKWOOD CURATED GIFTS; ONEILL LONGHORN, RILEY",1706 22ND ST,IA,Polk,77.0,77,1.0,DES MOINES,50310-6009,,,2024-01-01T00:00:00.000,
Inactive,Remote Sales,200161586,200161586,"MIDWEST COMMUNICATIONS TECHNOL, BLACK BOX NETWORK SERVICES",1000 PARK DR,PA,,0.0,0,,LAWRENCE,15055-1018,,,2011-04-01T00:00:00.000,2019-01-27T00:00:00.000
Active,Retail Sales,302108820,302108820,STRIDING 4 AWARENESS,810 SUNRIDGE DR,IA,Warren,91.0,91,2.0,CARLISLE,50047-9734,,,2024-04-01T00:00:00.000,
Inactive,Remote Sales,200172433,200172433,"BEECHER ROAD CHIROPRACTIC; KRIBS,JACK W",PO BOX 515,MI,,0.0,0,,LESLIE,49251-0515,6213.0,Offices of Other Health Practitioners,2016-07-18T00:00:00.000,2016-07-18T00:00:00.000
Active,Retail Sales,117010720,,"TATRO, JEAN F; TATORS N AGATES",10284 300TH ST,IA,Cerro Gordo,17.0,17,1.0,MASON CITY,50401-9142,458310.0,Jewelry Retailers,1980-11-24T00:00:00.000,
Active,Retail Sales,304507922,304507922,INTERSTATE TELECOMMUNICATIONS,PO BOX 920,SD,,0.0,0,,CLEAR LAKE,57226-0920,517111.0,Wired Telecommunications Carriers,2024-11-01T00:00:00.000,
Inactive,Retail Sales,635500375,,FRANKLIN GENERAL HOSPITAL,1720 CENTRAL AVE EAST,IA,Franklin,35.0,35,1.0,HAMPTON,50441-0000,,,1998-07-17T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,305609519,305609419,"SKADELAND EXCAVATING; SKADELAND, KEVIN; LARRABEE, IA",1819 450TH ST,IA,Cherokee,18.0,18,5.0,LARRABEE,51029-7019,238910.0,Site Preparation Contractors,2022-04-01T00:00:00.000,
Inactive,Retail Sales,114007280,,"WILLIAM A HORNICK; HORNICK, VICTOR J; HORNICK,VICTOR J",428 E 6 ST,IA,Carroll,14.0,14,5.0,GLIDDEN,51443-0000,4413.0,"Automotive Parts, Accessories, and Tire Retailers",1996-05-03T00:00:00.000,2020-12-30T00:00:00.000
Active,Retail Sales,165003129,,"FELOS, STEPHEN K; KEG CREEK BOOT & SADDLE",59550 220TH ST,IA,Mills,65.0,65,1.0,GLENWOOD,51534-5202,4481.0,Clothing Stores,1980-06-15T00:00:00.000,
Inactive,Consumer Use,304703512,304703512,"IVY DANNYLACE LLC, IVY SALON AND SPA",1610 TIMBER WOLF DR,IA,Johnson,52.0,52,8.0,NORTH LIBERTY,52317-8040,,,2022-05-01T00:00:00.000,2022-06-30T00:00:00.000
Inactive,Retail Sales,304008321,304008221,"JASMINE THAI LLC; SIEBEN, ANANCHANA",3069 FLOYD BLVD,IA,Woodbury,0.0,97,1.0,SIOUX CITY,51108-1461,722513.0,Limited-Service Restaurants,2024-08-26T00:00:00.000,2025-10-31T00:00:00.000
Active,Retail Sales,177118228,,"EZ MART, EZ MART LLC",1111 SE LINCOLN ST,IA,Polk,77.0,77,11.0,BONDURANT,50035-0000,4471.0,Gasoline Stations,2012-05-01T00:00:00.000,
Active,Retail Sales,107039793,,"BERGMEIER, CHAD K; BERGMEIER PROMOTIONS",300 PHEASANT,IA,Black Hawk,7.0,7,5.0,HUDSON,50643-0000,6116.0,Other Schools and Instruction,2011-11-01T00:00:00.000,
Inactive,Remote Sales,200183170,200183170,ABSOLUTE BEAUTY LLC,4600 MADISON AVE STE 1500,MO,,0.0,0,,KANSAS CITY,64112-3016,4539.0,Other Miscellaneous Store Retailers,2019-02-19T00:00:00.000,2024-12-31T00:00:00.000
Active,Retail Sales,197038246,,"MAA BAAP INC, ELMDALE MOTEL",2200 HIGHWAY 75 N,IA,Woodbury,97.0,97,1.0,SIOUX CITY,51105-2435,721110.0,Hotels (except Casino Hotels) and Motels,2018-07-20T00:00:00.000,
Active,Retail Sales,308604027,308604027,"COJO VENTURES, LLC",625 COUNTRY SIDE LN,IA,Marion,63.0,63,2.0,PELLA,50219-7865,722320.0,Caterers,2025-12-01T00:00:00.000,
Active,Retail Sales,S00339469,S00339469,ZIAISTIC LLC,30 N GOULD ST STE 4000,WY,,0.0,0,,SHERIDAN,82801-6317,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2023-05-14T00:00:00.000,
Active,Retail Sales,S00118927,S00118927,FIFTY FLOWERS INC,2404 W BANK DR,ID,,0.0,0,,BOISE,83705-2577,459310.0,Florists,2019-06-01T00:00:00.000,
Inactive,Retail Sales,197037855,,MASTER AUTO BODY INC,2501 CORRECTIONVILLE RD,IA,Woodbury,97.0,97,1.0,SIOUX CITY,51106-5739,8113.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main,2017-04-01T00:00:00.000,2017-12-31T00:00:00.000
Active,Retail Sales,303706027,303705927,"THE ACREAGE IOWA LLC, THE ACREAGE, HOME",1732 ROAD M36,IA,Shelby,83.0,83,7.0,KIRKMAN,51447-7523,,,2024-06-01T00:00:00.000,
Active,Retail Sales,818294,S00101585,"RICHMARK LABEL, COSME",1110 E PINE ST,WA,,0.0,0,,SEATTLE,98122-3920,3231.0,Printing and Related Support Activities,2019-01-08T00:00:00.000,
Inactive,Retail Sales,152014889,,METRO PLUMBING AND HEATING INC,2602 NEWPORT RD NE,IA,Johnson,52.0,52,1.0,IOWA CITY,52240-7852,238220.0,"Plumbing, Heating, and Air-Conditioning Contractors",1993-04-01T00:00:00.000,2023-12-31T00:00:00.000
Active,Retail Sales,194003825,,"WALTER PORSCH POST NO. 1856, VETERANS OF FOREIGN WARS; VFW POST 1856",518 S 29TH ST,IA,Webster,94.0,94,1.0,FORT DODGE,50501-5560,813410.0,Civic and Social Organizations,1942-10-01T00:00:00.000,
Active,Retail Sales,305900816,305900816,"NEXT PHASE ELECTRIC & MAINTENANCE, INC.",208 VICTORIA AVE,IA,Dubuque,31.0,31,5.0,FARLEY,52046-9310,238210.0,Electrical Contractors and Other Wiring Installation Contractors,2022-04-01T00:00:00.000,
Active,Retail Sales,177110035,,TECH MADNESS LLC,14111 BUENA VISTA DR,IA,Polk,77.0,77,3.0,URBANDALE,50323-2130,5415.0,Computer Systems Design and Related Services,2007-01-01T00:00:00.000,
Active,Retail Sales,157026606,,"RANDALL, MICHAEL; CEDAR TACKLE COMPANY",1512 K ST SW,IA,Linn,57.0,57,1.0,CEDAR RAPIDS,52404-2841,459110.0,Sporting Goods Retailers,1980-10-01T00:00:00.000,
Inactive,Remote Sales,200152201,200152201,KSI CONVEYORS INC,PO BOX 69,IL,,0.0,0,,CISSNA PARK,60924-0069,3331.0,"Agriculture, Construction, and Mining Machinery Manufacturing",2006-01-01T00:00:00.000,2025-02-28T00:00:00.000
Inactive,Retail Sales,305109224,305109124,"THE GLORY DAYS, LLC; THE GLORY DAYS",606 N US HIGHWAY 69,IA,Story,85.0,85,12.0,HUXLEY,50124-9313,,,2024-11-01T00:00:00.000,2025-12-31T00:00:00.000
Inactive,Remote Sales,200145742,200145742,"REPPERT CARBIDE; REPPERT, FRED JR",2168 M RD,NE,,0.0,0,,WEST POINT,68788-3595,,,2002-03-15T00:00:00.000,2022-12-31T00:00:00.000
Active,Retail Sales,177133328,810,"SMARTCO TRS, INC.; SMARTCO TRS INC 1063",3221 MLK JR PKWY,IA,Polk,0.0,77,1.0,DES MOINES,50310-5626,532310.0,General Rental Centers,2021-02-10T00:00:00.000,
Inactive,Retail Sales,177119029,,THE NOERR PROGRAMS,3850 MERLE HAY RD,IA,Polk,77.0,77,1.0,DES MOINES,50310-1330,8129.0,Other Personal Services,2012-11-01T00:00:00.000,2020-04-30T00:00:00.000
Inactive,Retail Sales,685514990,,"APPERSON, DANIEL D; APPERSON,DANIEL D",1125 310TH ST,IA,Page,73.0,73,9.0,NORTHBORO,51647-5000,,,2009-02-11T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Retail Sales,161004485,8298,"MAVERIK GROUP, LLC; KUM & GO #246",111 E JEFFERSON ST,IA,Madison,0.0,61,1.0,WINTERSET,50273-1534,4471.0,Gasoline Stations,1999-03-15T00:00:00.000,2025-08-27T00:00:00.000
Active,Retail Sales,308107826,308107726,"BORNTREGER, DANIEL; HILLCREST MACHINERY AND REPAIR",30382 300TH ST,IA,Davis,26.0,26,4.0,PULASKI,52584-8147,811310.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main,2025-09-01T00:00:00.000,
Active,Retail Sales,303200320,303200320,DC AUTO SHOP LLC,2349 HIGHWAY 6 TRL,IA,Iowa,48.0,48,1.0,MARENGO,52301-8578,811111.0,General Automotive Repair,2024-01-01T00:00:00.000,
Active,Retail Sales,S00079426,S00079426,GOLDEN PRAIRIE HONEY FARMS,8859 GREEN VALLEY DR STE 4,KS,,0.0,0,,MANHATTAN,66502-1472,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2017-08-01T00:00:00.000,
Active,Retail Sales,303909028,303908928,"BRIELLA SALON LLC, HAIRSTYLIST, BRIELLA SALON",5519 NW 88TH ST STE 114,IA,Polk,77.0,77,16.0,JOHNSTON,50131-1931,812112.0,Beauty Salons,2024-10-07T00:00:00.000,
Active,Remote Sales,200161775,200161775,ALTERG INCORPORATED,200 DONALD LYNCH BLVD STE 100,MA,,0.0,0,,MARLBOROUGH,01752-4816,3399.0,Other Miscellaneous Manufacturing,2011-03-18T00:00:00.000,
Active,Retail Sales,300102021,300101921,"DAVID'S BRIDAL INC, DAVID'S BRIDAL INC 137",1001 WASHINGTON ST,PA,,0.0,0,,CONSHOHOCKEN,19428-2356,,,2023-07-21T00:00:00.000,
Active,Consumer Use,985001547,985001547,LAKEVIEW PARK APARTMENTS LLC,8644 EXECUTIVE WOODS DR,NE,,85.0,85,,LINCOLN,68512-9301,531110.0,Lessors of Residential Buildings and Dwellings,2016-06-23T00:00:00.000,
Inactive,Retail Sales,307003411,307003411,ONO CASA AMERICANA LLC,202 E WOODLAND AVE,IA,Wapello,90.0,90,1.0,OTTUMWA,52501-2044,722511.0,Full-Service Restaurants,2022-11-28T00:00:00.000,2024-06-21T00:00:00.000
Active,Retail Sales,305409721,305409721,"CHI & DUONG, FANTASY NAILS",1516 HENDERSON AVE,IA,Polk,77.0,77,1.0,DES MOINES,50316-1321,812113.0,Nail Salons,2025-01-02T00:00:00.000,
Active,Remote Sales,200137878,200137878,SATCO PRODUCTS OF TEXAS INC,110 HEARTLAND BLVD,NY,,0.0,0,,EDGEWOOD,11717-8364,,,1996-10-01T00:00:00.000,
Inactive,Retail Sales,160005086,,"ALLEN, MCKENSEY; ALLEN,MCKENSEY",1239 CHERRY AVE,IA,Lyon,60.0,60,5.0,LARCHWOOD,51241-7520,459120.0,"Hobby, Toy, and Game Retailers",2021-08-25T00:00:00.000,2021-08-25T00:00:00.000
Active,Retail Sales,102002930,,"SOUTHWICK, KATHLEEN; MY CANDLES FLAME",800 ADAMS ST,IA,Adams,2.0,2,1.0,CORNING,50841-1436,459110.0,Sporting Goods Retailers,2021-10-15T00:00:00.000,
Active,Retail Sales,303201513,303201513,LEAGUE OF HUMAN DIGNITY INC,1701 P ST,NE,,0.0,0,,LINCOLN,68508-1741,8133.0,Social Advocacy Organizations,2021-11-09T00:00:00.000,
Inactive,Retail Sales,657521665,,"DICKERSON, CONSTANCE I; DICKERSON,CONSTANCE I",10759 S CHAMPLAIN AVE,IL,,0.0,0,,CHICAGO,60628-3807,,,2014-02-15T00:00:00.000,2014-02-28T00:00:00.000
Inactive,Retail Sales,164014513,,SMITH VETERINARY SERVICES PLLC,1605 235TH ST,IA,Marshall,64.0,64,2.0,STATE CENTER,50247-9639,541940.0,Veterinary Services,2015-01-01T00:00:00.000,2018-12-31T00:00:00.000
Active,Retail Sales,305704410,305704410,29TH STATE INVESTMENTS LLC,4521 FAIRVIEW DR,IA,Polk,77.0,77,13.0,PLEASANT HILL,50327-1728,531110.0,Lessors of Residential Buildings and Dwellings,2022-07-20T00:00:00.000,
Active,Retail Sales,805004,S00036221,GEA MECHANICAL EQUIPMENT US INC,100 FAIRWAY CT,NJ,,0.0,0,,NORTHVALE,07647-2401,541330.0,Engineering Services,2011-01-01T00:00:00.000,
Active,Retail Sales,161005804,,"BROCKMAN, RYAN M; BROCK BOTTOM FARM",2486 WILDROSE LN,IA,,61.0,61,,SAINT CHARLES,50240-8543,1124.0,Sheep and Goat Farming,2018-01-01T00:00:00.000,
Active,Retail Sales,303809125,303809125,"CLOVER CREEK CATS; CLOVER CREEK ENTERPRISES, LLC",3234 280TH ST,IA,Madison,61.0,61,8.0,TRURO,50257-8003,,,2024-07-29T00:00:00.000,
Inactive,Retail Sales,192007843,,"YOUNG, ROGER A; RAYS REPAIR",607 E POLK,IA,Washington,92.0,92,1.0,WASHINGTON,52353-1238,5415.0,Computer Systems Design and Related Services,2005-02-01T00:00:00.000,2021-12-31T00:00:00.000
Active,Retail Sales,100006679,,"HEMPHILL, MARGARET; WOGGLE",2142 FLORENCE BYRAM RD,MS,,88.0,0,,FLORENCE,39073-9352,4481.0,Clothing Stores,2019-09-07T00:00:00.000,
Active,Retail Sales,131027024,,"NAGEL, BRIANA M; BATH BOMB BLESSINGS",318 PEACH ST,IL,,31.0,31,,EAST DUBUQUE,61025-1318,8121.0,Personal Care Services,2018-06-02T00:00:00.000,
Inactive,Consumer Use,909000234,909000234,RADA MANUFACTURING COMPANY INC,PO BOX 838,IA,Bremer,9.0,9,1.0,WAVERLY,50677-0838,33221.0,Cutlery and Handtool Manufacturing,1974-10-01T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,302008622,302008622,"STANLEY RAY MERRELL, STAN'S TURNINGS",927 SPRUCE AVE,IA,Warren,91.0,91,3.0,NORWALK,50211-1648,455219.0,All Other General Merchandise Retailers,2023-09-01T00:00:00.000,
Inactive,Retail Sales,194017487,,"STEINER JR, LARRY; L & C SOURCE",1112 AVENUE B,IA,Webster,94.0,94,1.0,FORT DODGE,50501-4503,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2017-04-01T00:00:00.000,2022-09-17T00:00:00.000
Active,Retail Sales,159003998,,"HUNDLEY, DONALD E; HUNDLEY TIRE & AUTO SERVICE",102 N PRAIRIE,IA,Lucas,59.0,59,2.0,RUSSELL,50238-0000,8111.0,Automotive Repair and Maintenance,2003-04-01T00:00:00.000,
Active,Retail Sales,309605221,309605121,"CASA AMIGOS, L.L.C.",40 SUGAR CREEK LN STE 5,IA,Johnson,52.0,52,8.0,NORTH LIBERTY,52317-9636,722511.0,Full-Service Restaurants,2026-01-26T00:00:00.000,
Active,Retail Sales,S00372633,S00372633,STARBRANDS GLOBAL HOLDING LLC,8 THE GRN STE A,DE,,0.0,0,,DOVER,19901-3618,458110.0,Clothing and Clothing Accessories Retailers,2023-10-31T00:00:00.000,
Active,Retail Sales,163006288,,"VAN VARK, GREGORY; VAN VARKS",905 COLUMBUS ST,IA,Marion,63.0,63,2.0,PELLA,50219-1403,458310.0,Jewelry Retailers,1980-11-01T00:00:00.000,
Inactive,Retail Sales,177119213,,"THOMPSON, RANDALL J; THOMPSON,RANDALL J",1905 SE 37TH,IA,Polk,77.0,77,8.0,GRIMES,50111-0000,5324.0,Commercial and Industrial Machinery and Equipment Rental and Leasing,2012-11-05T00:00:00.000,2018-12-31T00:00:00.000
Active,Retail Sales,308302617,308302517,"RAM CUSTOM SERVICES LLC, ELECTRICAL,HANDYMAN,",320 S JEFFERSON ST,IA,Keokuk,54.0,54,3.0,SIGOURNEY,52591-1518,238210.0,Electrical Contractors and Other Wiring Installation Contractors,2023-03-11T00:00:00.000,
Active,Retail Sales,S00299534,S00299534,UPSTATE WHOLESALE SUPPLY INC,7647 COUNTY ROAD 42,NY,,0.0,0,,VICTOR,14564-8909,,,2023-07-05T00:00:00.000,
Inactive,Retail Sales,152020329,,"GEDLINSKE, KENT; KG'S INDUSTRIAL RECYCLING LLC",3684 JOHNSTON WAY NE,IA,Johnson,52.0,52,8.0,NORTH LIBERTY,52317-9390,459510.0,Used Merchandise Retailers,2005-02-05T00:00:00.000,2019-12-31T00:00:00.000
Active,Retail Sales,199004180,4077,"CARGILL INCORPORATED & SUBSIDIARIES, NUTRENA MILLS DIV",NO STREET PROVIDED,IA,Wright,0.0,99,7.0,ROWAN,50470-0000,3112.0,Grain and Oilseed Milling,1971-09-01T00:00:00.000,
Active,Retail Sales,162009035,,"THE UNIQUE SALON LLC, UNIQUE SALON LLC THE",1201 A AVE E,IA,Mahaska,62.0,62,1.0,OSKALOOSA,52577-4237,812112.0,Beauty Salons,2008-11-01T00:00:00.000,
Active,Retail Sales,302500523,302500423,"ALLIED BOLT INC, ALLIED BOLT PRODUCTS LLC",7 RYE RIDGE PLZ STE 186,NY,,0.0,0,,RYE BROOK,10573-2822,332510.0,Hardware Manufacturing,2024-01-01T00:00:00.000,
Active,Retail Sales,110008360,,"BALVANZ, KATHERINE M; PURPLE STARZ BOUTIQUE",535 HOPKINS ST,IA,Buchanan,10.0,10,2.0,JESUP,50648-9740,455219.0,All Other General Merchandise Retailers,2020-01-01T00:00:00.000,
Active,Retail Sales,306708924,306708924,SIMPLETECH LLC,3662 N CENTER POINT RD,IA,Linn,57.0,57,3.0,CENTER POINT,52213-9554,541512.0,Computer Systems Design Services,2025-05-05T00:00:00.000,
Active,Retail Sales,S00273862,S00273862,FATHEAD LLC,188 FRONT ST PMB 211 STE 116,TN,,0.0,0,,FRANKLIN,37064-5089,3399.0,Other Miscellaneous Manufacturing,2022-05-27T00:00:00.000,
Inactive,Retail Sales,304008018,304007918,"LIFT DIGITAL INC., LIFT SESSION",9450 SW GEMINI DR STE 83088,OR,,0.0,0,,BEAVERTON,97008-7105,,,2022-03-01T00:00:00.000,2024-02-08T00:00:00.000
Active,Retail Sales,306504628,5890,"WESSELS OIL CO INC, MIKE'S INC., FORT DODGE",2105 240TH ST,IA,Webster,76.0,94,1.0,FORT DODGE,50501-8596,4247.0,Petroleum and Petroleum Products Merchant Wholesalers,2025-04-01T00:00:00.000,
Inactive,Retail Sales,613517645,,"NEHMAN, DARVIN; NEHMAN,DARVIN",1892 GARBER AVE,IA,,13.0,13,,FONDA,50540-7520,,,2011-06-30T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,308709318,308709118,"TNM LLC, MTC MECHANICAL LLC, TNM",1530 TRI VIEW AVE,IA,Woodbury,47.0,97,1.0,SIOUX CITY,51103-5214,238220.0,"Plumbing, Heating, and Air-Conditioning Contractors",2023-04-01T00:00:00.000,
Active,Retail Sales,307708725,307708625,"ZIERDEN PLUMBING, 14673 SHERRILL RD",14673 SHERRILL RD,IA,Dubuque,31.0,31,18.0,SHERRILL,52073-9789,238220.0,"Plumbing, Heating, and Air-Conditioning Contractors",2025-10-01T00:00:00.000,
Inactive,Consumer Use,942000643,942000643,BLUE DEVIL WASHES LLC,PO BOX 88,IA,Hardin,42.0,42,1.0,IOWA FALLS,50126-0088,811192.0,Car Washes,2009-05-02T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,142009213,,"EAKIN, ROBERT S; EAKIN SERVICES",809 ESTES ST,IA,Hardin,42.0,42,1.0,IOWA FALLS,50126-2126,5617.0,Services to Buildings and Dwellings,2004-04-01T00:00:00.000,
Inactive,Retail Sales,302401425,302401325,"SCHOH, MAISON S; LANSING",80 S 2ND ST,IA,Allamakee,3.0,3,2.0,LANSING,52151-0000,423910.0,Sporting and Recreational Goods and Supplies Merchant Wholesalers,2023-06-01T00:00:00.000,2025-12-31T00:00:00.000
Active,Remote Sales,200142418,200142418,OHIO WOODWORKING CO INC,3406 WERK RD,OH,,0.0,0,,CINCINNATI,45211-6813,,,1999-10-01T00:00:00.000,
Inactive,Retail Sales,129013562,,"WIEMER, DAVID; DREAMCO",1214 MESSIAH DR,IA,Des Moines,29.0,29,1.0,BURLINGTON,52601-8205,4512.0,Book Stores and News Dealers,2006-01-01T00:00:00.000,2020-12-31T00:00:00.000
